Fecha	Hora	Anterior	Nuevo	Ventas Brutas	Impuesto	Exoneración	Contador	
02/ENE/2013	10:41	3,036,667.84	3,037,359.34	691.50	0.00	0.00	1327 	
03/ENE/2013	00:13	3,037,359.34	3,039,550.23	2,190.89	153.39	0.00	1328 	
05/ENE/2013	01:25	3,039,550.23	3,045,090.92	5,540.69	389.00	0.00	1329 	
06/ENE/2013	01:10	3,045,090.92	3,049,223.40	4,132.48	289.28	0.00	1330 	
09/ENE/2013	00:16	3,049,223.40	3,053,689.27	4,465.87	312.19	0.00	1331 	
10/ENE/2013	00:07	3,053,689.27	3,055,497.68	1,808.41	126.64	0.00	1332 	
11/ENE/2013	01:12	3,055,497.68	3,062,281.54	6,783.86	474.91	0.00	1333 	
12/ENE/2013	02:30	3,062,281.54	3,070,145.45	7,863.91	550.54	0.00	1334 	
13/ENE/2013	01:38	3,070,145.45	3,075,408.13	5,262.68	368.45	0.00	1335 	
14/ENE/2013	10:46	3,075,408.13	3,078,945.41	3,537.28	247.68	0.00	1336 	
15/ENE/2013	00:43	3,078,945.41	3,083,491.14	4,545.73	318.12	0.00	1337 	
16/ENE/2013	00:06	3,083,491.14	3,085,750.11	2,258.97	158.15	0.00	1338 	
17/ENE/2013	00:15	3,085,750.11	3,088,408.99	2,658.88	186.20	0.00	1339 	
18/ENE/2013	00:53	3,088,408.99	3,095,597.12	7,188.13	503.18	0.00	1340 	
19/ENE/2013	01:51	3,095,597.12	3,100,367.82	4,770.70	333.56	0.00	1341 	
20/ENE/2013	01:27	3,100,367.82	3,105,193.18	4,825.36	337.69	0.00	1342 	
21/ENE/2013	23:29	3,105,193.18	3,110,420.81	5,227.63	365.94	0.00	1343 	
23/ENE/2013	08:11	3,110,420.81	3,117,223.44	6,802.63	476.07	0.00	1344 	
25/ENE/2013	01:20	3,117,223.44	3,141,327.01	24,103.57	1,361.72	0.00	1345 	
26/ENE/2013	01:25	3,141,327.01	3,146,105.35	4,778.34	334.50	0.00	1346 	
27/ENE/2013	01:22	3,146,105.35	3,150,444.49	4,339.14	303.85	0.00	1347 	
28/ENE/2013	09:21	3,150,444.49	3,152,721.72	2,277.23	159.47	0.00	1348 	
29/ENE/2013	10:12	3,152,721.72	3,153,952.27	1,230.55	86.15	0.00	1349 	
30/ENE/2013	00:39	3,153,952.27	3,159,357.07	5,404.80	378.39	0.00	1350 	
31/ENE/2013	00:28	3,159,357.07	3,164,771.33	5,414.26	379.07	0.00	1351 	
01/FEB/2013	11:34	3,164,771.33	3,168,238.25	3,466.92	242.63	0.00	1352 	
02/FEB/2013	00:49	3,168,238.25	3,172,454.83	4,216.58	295.21	0.00	1353 	
02/FEB/2013	11:04	3,172,454.83	3,172,454.83	0.00	0.00	0.00	1354 	
03/FEB/2013	01:05	3,172,454.83	3,176,258.77	3,803.94	266.42	0.00	1355 	
05/FEB/2013	09:30	3,176,258.77	3,180,692.12	4,433.35	310.33	0.00	1356 	
07/FEB/2013	08:46	3,180,692.12	3,188,018.62	7,326.50	513.05	0.00	1357 	
08/FEB/2013	00:26	3,188,018.62	3,190,602.30	2,583.68	180.89	0.00	1358 	
09/FEB/2013	00:14	3,190,602.30	3,195,149.61	4,547.31	318.46	0.00	1359 	
15/FEB/2013	01:42	3,195,149.61	3,202,948.96	7,799.35	546.18	0.00	1360 	
16/FEB/2013	01:34	3,202,948.96	3,208,735.06	5,786.10	405.03	0.00	1361 	
17/FEB/2013	01:24	3,208,735.06	3,213,565.53	4,830.47	338.22	0.00	1362 	
18/FEB/2013	08:57	3,213,565.53	3,216,447.13	2,881.60	201.76	0.00	1363 	
19/FEB/2013	11:52	3,216,447.13	3,217,777.42	1,330.29	93.15	0.00	1364 	
20/FEB/2013	00:05	3,217,777.42	3,219,311.24	1,533.82	107.37	0.00	1365 	
21/FEB/2013	00:14	3,219,311.24	3,221,842.07	2,530.83	177.21	0.00	1366 	
22/FEB/2013	00:30	3,221,842.07	3,223,757.91	1,915.84	134.09	0.00	1367 	
23/FEB/2013	01:40	3,223,757.91	3,228,751.83	4,993.92	349.61	0.00	1368 	
24/FEB/2013	01:01	3,228,751.83	3,233,620.48	4,868.65	340.58	0.00	1369 	
25/FEB/2013	10:18	3,233,620.48	3,235,849.10	2,228.62	156.06	0.00	1370 	
25/FEB/2013	11:47	3,235,849.10	3,235,849.10	0.00	0.00	0.00	1371 	
26/FEB/2013	10:36	3,235,849.10	3,237,204.43	1,355.33	94.96	0.00	1372 	
27/FEB/2013	00:03	3,237,204.43	3,240,201.06	2,996.63	209.84	0.00	1373 	
28/FEB/2013	00:06	3,240,201.06	3,242,449.60	2,248.54	157.41	0.00	1374 	
01/MAR/2013	08:01	3,242,449.60	3,245,615.00	3,165.40	221.53	0.00	1375 	
02/MAR/2013	02:15	3,245,615.00	3,251,044.09	5,429.09	380.07	0.00	1376 	
03/MAR/2013	01:57	3,251,044.09	3,256,391.38	5,347.29	374.40	0.00	1377 	
05/MAR/2013	00:08	3,256,391.38	3,258,715.53	2,324.15	162.73	0.00	1378 	
06/MAR/2013	00:12	3,258,715.53	3,260,744.84	2,029.31	142.13	0.00	1379 	
07/MAR/2013	00:07	3,260,744.84	3,262,221.83	1,476.99	103.37	0.00	1380 	
08/MAR/2013	00:29	3,262,221.83	3,263,704.57	1,482.74	103.86	0.00	1381 	
09/MAR/2013	01:34	3,263,704.57	3,268,797.74	5,093.17	356.49	0.00	1382 	
10/MAR/2013	01:16	3,268,797.74	3,272,980.36	4,182.62	292.87	0.00	1383 	
12/MAR/2013	00:06	3,272,980.36	3,276,331.92	3,351.56	234.58	0.00	1384 	
13/MAR/2013	00:10	3,276,331.92	3,278,642.94	2,311.02	161.33	0.00	1385 	
14/MAR/2013	00:07	3,278,642.94	3,280,004.37	1,361.43	95.34	0.00	1386 	
15/MAR/2013	00:33	3,280,004.37	3,282,351.20	2,346.83	164.04	0.00	1387 	
16/MAR/2013	01:37	3,282,351.20	3,287,775.35	5,424.15	379.62	0.00	1388 	
17/MAR/2013	01:48	3,287,775.35	3,293,424.73	5,649.38	395.52	0.00	1389 	
17/MAR/2013	22:25	3,293,424.73	3,296,733.24	3,308.51	231.45	0.00	1390 	
19/MAR/2013	00:13	3,296,733.24	3,298,492.18	1,758.94	123.11	0.00	1391 	
20/MAR/2013	00:09	3,298,492.18	3,300,019.49	1,527.31	106.75	0.00	1392 	
21/MAR/2013	00:21	3,300,019.49	3,302,165.68	2,146.19	150.29	0.00	1393 	
22/MAR/2013	00:20	3,302,165.68	3,304,300.73	2,135.05	149.51	0.00	1394 	
23/MAR/2013	01:24	3,304,300.73	3,311,119.43	6,818.70	477.18	0.00	1395 	
24/MAR/2013	00:44	3,311,119.43	3,314,896.72	3,777.29	264.40	0.00	1396 	
26/MAR/2013	00:16	3,314,896.72	3,318,514.66	3,617.94	253.43	0.00	1397 	
27/MAR/2013	00:36	3,318,514.66	3,323,559.21	5,044.55	353.06	0.00	1398 	
28/MAR/2013	00:54	3,323,559.21	3,327,148.64	3,589.43	251.32	0.00	1399 	
29/MAR/2013	00:20	3,327,148.64	3,331,685.19	4,536.55	317.50	0.00	1400 	
31/MAR/2013	12:26	3,331,685.19	3,333,825.86	2,140.67	149.92	0.00	1401 	
31/MAR/2013	22:16	3,333,825.86	3,335,661.73	1,835.87	128.57	0.00	1402 	
31/MAR/2013	22:36	3,335,661.73	3,335,661.73	0.00	0.00	0.00	1403 	
01/ABR/2013	08:05	3,335,661.73	3,335,661.73	0.00	0.00	0.00	1404 	
01/ABR/2013	23:47	3,335,661.73	3,337,224.84	1,563.11	109.40	0.00	1405 	
03/ABR/2013	00:10	3,337,224.84	3,338,888.42	1,663.58	116.41	0.00	1406 	
04/ABR/2013	00:03	3,338,888.42	3,340,954.20	2,065.78	144.53	0.00	1407 	
05/ABR/2013	00:54	3,340,954.20	3,343,008.55	2,054.35	143.83	0.00	1408 	
06/ABR/2013	01:40	3,343,008.55	3,346,911.90	3,903.35	273.20	0.00	1409 	
07/ABR/2013	01:44	3,346,911.90	3,351,602.58	4,690.68	328.17	0.00	1410 	
08/ABR/2013	09:43	3,351,602.58	3,354,532.27	2,929.69	204.99	0.00	1411 	
09/ABR/2013	00:15	3,354,532.27	3,355,755.21	1,222.94	85.59	0.00	1412 	
10/ABR/2013	00:05	3,355,755.21	3,357,036.58	1,281.37	89.74	0.00	1413 	
11/ABR/2013	00:15	3,357,036.58	3,359,076.76	2,040.18	142.80	0.00	1414 	
12/ABR/2013	00:37	3,359,076.76	3,361,191.26	2,114.50	147.97	0.00	1415 	
13/ABR/2013	01:46	3,361,191.26	3,366,432.31	5,241.05	366.78	0.00	1416 	
14/ABR/2013	01:27	3,366,432.31	3,371,638.11	5,205.80	364.05	0.00	1417 	
15/ABR/2013	09:13	3,371,638.11	3,375,201.50	3,563.39	249.47	0.00	1418 	
16/ABR/2013	11:58	3,375,201.50	3,377,575.69	2,374.19	166.24	0.00	1419 	
17/ABR/2013	00:03	3,377,575.69	3,379,368.45	1,792.76	125.40	0.00	1420 	
18/ABR/2013	00:11	3,379,368.45	3,381,717.39	2,348.94	164.51	0.00	1421 	
19/ABR/2013	00:43	3,381,717.39	3,384,193.99	2,476.60	172.81	0.00	1422 	
20/ABR/2013	01:37	3,384,193.99	3,389,130.61	4,936.62	345.48	0.00	1423 	
21/ABR/2013	01:46	3,389,130.61	3,393,500.16	4,369.55	305.90	0.00	1424 	
22/ABR/2013	17:48	3,393,500.16	3,396,245.70	2,745.54	192.18	0.00	1425 	
23/ABR/2013	00:03	3,396,245.70	3,397,035.73	790.03	55.27	0.00	1426 	
24/ABR/2013	00:13	3,397,035.73	3,399,007.34	1,971.61	138.00	0.00	1427 	
25/ABR/2013	00:05	3,399,007.34	3,401,447.05	2,439.71	170.83	0.00	1428 	
26/ABR/2013	00:38	3,401,447.05	3,403,448.53	2,001.48	139.99	0.00	1429 	
27/ABR/2013	01:44	3,403,448.53	3,409,354.07	5,905.54	413.55	0.00	1430 	
28/ABR/2013	01:22	3,409,354.07	3,413,382.09	4,028.02	281.96	0.00	1431 	
29/ABR/2013	09:03	3,413,382.09	3,416,442.99	3,060.90	214.28	0.00	1432 	
01/MAY/2013	00:05	3,416,442.99	3,417,893.71	1,450.72	101.56	0.00	1433 	
02/MAY/2013	00:10	3,417,893.71	3,420,827.71	2,934.00	205.42	0.00	1434 	
03/MAY/2013	00:35	3,420,827.71	3,422,383.85	1,556.14	108.81	0.00	1435 	
04/MAY/2013	10:31	3,422,383.85	3,426,391.34	4,007.49	280.45	0.00	1436 	
05/MAY/2013	01:29	3,426,391.34	3,431,383.15	4,991.81	349.40	0.00	1437 	
06/MAY/2013	18:03	3,431,383.15	3,434,809.30	3,426.15	239.83	0.00	1438 	
07/MAY/2013	11:41	3,434,809.30	3,435,725.12	915.82	64.09	0.00	1439 	
08/MAY/2013	00:08	3,435,725.12	3,437,646.68	1,921.56	134.54	0.00	1440 	
