Fecha	Hora	Anterior	Nuevo	Ventas Brutas	Impuesto	Exoneración	
01/OCT/2011	02:11	477,144.59	479,311.89	2,167.30	129.98	0.00	
02/OCT/2011	01:55	479,311.89	481,442.89	2,131.00	135.53	0.00	
02/OCT/2011	23:21	481,442.89	482,692.59	1,249.70	78.75	0.00	
04/OCT/2011	00:10	482,692.59	483,628.39	935.80	141.75	0.00	
04/OCT/2011	00:16	483,628.39	483,628.39	0.00	0.00	0.00	
05/OCT/2011	01:01	483,628.39	484,898.19	1,269.80	84.53	0.00	
06/OCT/2011	01:52	484,898.19	486,560.44	1,662.25	89.44	0.00	
07/OCT/2011	00:46	486,560.44	487,940.89	1,380.45	89.15	0.00	
08/OCT/2011	01:58	487,940.89	489,992.64	2,051.75	112.48	0.00	
10/OCT/2011	00:11	489,992.64	492,660.04	2,667.40	178.14	0.00	
11/OCT/2011	08:59	492,660.04	493,586.89	926.85	61.22	0.00	
12/OCT/2011	10:09	493,586.89	494,560.49	973.60	62.52	0.00	
TOTALES	 	 	(12) Cierres Z	B/. 17,415.90	1,163.49	0.00	
