DEPTO,ENVASE,PRODUCTO_VENTA,PRECIO_VENTA,DEPT_INV,ARTICULO_INVENT,COSTO_UNIT,CANT,COSTO_PORCION,CONSUMO,
CERVEZAS,Sin Envase,MICHELADA,4.75,CERVEZA,CORONA,1.07,1,1.07,Unidad
CERVEZAS,Sin Envase,DOS XX,3,CERVEZA,DOS XX,1.07,1,1.07,Unidad
CERVEZAS,Sin Envase,CORONA,3.75,CERVEZA,CORONA,1.07,1,1.07,Unidad
CERVEZAS,Sin Envase,CHELADA,4.5,CERVEZA,CORONA,1.07,1,1.07,Unidad
CERVEZAS,Sin Envase,CARTA BLANCA,3.75,CERVEZA,CARTA BLANCA,1.07,1,1.07,Unidad
AGUAS,Sin Envase,VOLVIC,2,BEBIDAS,VOLVIC,0.42,1,0.42,Unidad
AGUAS,Sin Envase,DASANI,2,BEBIDAS,DASANI,0.42,1,0.42,Unidad
CERVEZAS,Sin Envase,SOL,3.75,CERVEZA,SOL,0.77,1,0.77,Unidad
CERVEZAS,Sin Envase,TECATE,3.75,CERVEZA,TECATE,0.77,1,0.77,Unidad
LOS ALAMBRES,Sin Envase,ALAMBRE PULPO,10,ESENCIAS,OREGANO,0.0082,0.045,3.69000014662743E-04,GRAMOS
LOS NACHOS,Sin Envase,NACHO DE LA ABUELA,17,POLLOS o AVES,PECHUGA DE POLLO,0.0047,1.364,6.4107998251915E-03,GRAMOS
LOS ALAMBRES,Sin Envase,ALAMBRE FILETE,12.5,ESENCIAS,OREGANO,0.0082,0.045,3.69000014662743E-04,GRAMOS
LOS ALAMBRES,Sin Envase,ALAMBRE CAMARON,12.5,ESENCIAS,OREGANO,0.0082,0.045,3.69000014662743E-04,GRAMOS
LOS ALAMBRES,Sin Envase,ALAMBRE LOMITO,12.5,ESENCIAS,OREGANO,0.0082,0.045,3.69000014662743E-04,GRAMOS
LOS ALAMBRES,Sin Envase,ALAMBRE PUERCO,10,ESENCIAS,OREGANO,0.0082,0.045,3.69000014662743E-04,GRAMOS
LOS ALAMBRES,Sin Envase,ALAMBRE CHORIZO,10,ESENCIAS,OREGANO,0.0082,0.045,3.69000014662743E-04,GRAMOS
LOS ALAMBRES,Sin Envase,ALAMBRE PASTOR,10,VEGETALES ,CEBOLLA,0.002,0.045,9.00000035762787E-05,GRAMOS
LOS ALAMBRES,Sin Envase,ALAMBRE CHARRO,11.5,ESENCIAS,OREGANO,0.0082,0.045,3.69000014662743E-04,GRAMOS
LOS ALAMBRES,Sin Envase,ALAMBRE MARISCOS,10,ESENCIAS,OREGANO,0.0082,0.045,3.69000014662743E-04,GRAMOS
LOS NACHOS,Sin Envase,NACHO DE LA ABUELA,17,CARNES,CARNE MOLIDA,0.0046,1.364,6.27439982891083E-03,GRAMOS
LOS ALAMBRES,Sin Envase,ALAMBRE ORALE,11.5,ESENCIAS,OREGANO,0.0082,0.045,3.69000014662743E-04,GRAMOS
TACOS,Sin Envase,TACOS DE CAMARON,10,MARISCOS,CAMARON PELADO,0.0102,3.182,3.24563992023468E-02,GRAMOS
LOS ALAMBRES,Sin Envase,ALAMBRE MAR y TIERRA,11.5,ESENCIAS,OREGANO,0.0082,0.045,3.69000014662743E-04,GRAMOS
LOS ALAMBRES,Sin Envase,ALAMBRE CHULETA,11.5,ESENCIAS,OREGANO,0.0082,0.045,3.69000014662743E-04,GRAMOS
LOS ALAMBRES,Sin Envase,ALAMBRE PASTOR,10,ESENCIAS,OREGANO,0.0082,0.045,3.69000014662743E-04,GRAMOS
TACOS,Sin Envase,TACO HUASTECO VERDE POLLO,10,VEGETALES ,CILANTRO,0.0013,0.045,5.85000023245811E-05,GRAMOS
ENTRADAS,Sin Envase,CAZUELA AZTECA CARNE,10,ESENCIAS,OREGANO,0.0082,0.045,3.69000014662743E-04,GRAMOS
TACOS,Sin Envase,TACOS CANTINFLAS,10,CARNES,CARNE MOLIDA,0.0046,0.682,3.13719991445541E-03,GRAMOS
TACOS,Sin Envase,TACOS CANTINFLAS,10,POLLOS o AVES,PECHUGA DE POLLO,0.0047,0.682,3.20539991259575E-03,GRAMOS
TACOS,Sin Envase,TACO ORALE,10,VEGETALES ,ZANAHORIA,0.001,0.273,2.73000001907349E-04,GRAMOS
TACOS,Sin Envase,TACO ORALE,10,VEGETALES ,CEBOLLA MORADA,0.002,0.182,3.63999992609024E-04,GRAMOS
TACOS,Sin Envase,TACO ORALE,10,CARNES,PUERCO LISO,0.0052,1.363,7.08760018348694E-03,GRAMOS
TACOS,Sin Envase,TACO ORALE,10,POLLOS o AVES,PECHUGA DE POLLO,0.0047,1.363,6.40610016584396E-03,GRAMOS
TACOS,Sin Envase,TACO CARNE ENCEBOLLADA,8,VEGETALES ,CEBOLLA MORADA,0.002,2.273,4.5460000038147E-03,GRAMOS
TACOS,Sin Envase,TACO HUASTECO VERDE POLLO,10,VEGETALES ,ZANAHORIA,0.001,0.273,2.73000001907349E-04,GRAMOS
LOS NACHOS,Sin Envase,NACHO DE LA ABUELA,17,CARNES,CHORIZO MEJICANO,0.0067,1.364,9.1387997508049E-03,GRAMOS
TACOS,Sin Envase,TACOS DE CHULETA,10,VEGETALES ,CEBOLLA MORADA,0.002,0.182,3.63999992609024E-04,GRAMOS
TACOS,Sin Envase,TACOS DE CHULETA,10,VEGETALES ,ZANAHORIA,0.001,0.273,2.73000001907349E-04,GRAMOS
TACOS,Sin Envase,TACOS DE CAMARON,10,VEGETALES ,ZANAHORIA,0.001,0.273,2.73000001907349E-04,GRAMOS
TACOS,Sin Envase,TACOS DE CAMARON,10,VEGETALES ,CILANTRO,0.0013,0.136,1.76800009608269E-04,GRAMOS
TACOS,Sin Envase,TACOS DE CHORIZO,8,VEGETALES ,ZANAHORIA,0.001,0.273,2.73000001907349E-04,GRAMOS
TACOS,Sin Envase,TACO CARNE ENCEBOLLADA,8,VEGETALES ,ZANAHORIA,0.001,0.273,2.73000001907349E-04,GRAMOS
LOS ALAMBRES,Sin Envase,ALAMBRE CARNE,10,ESENCIAS,OREGANO,0.0082,0.045,3.69000014662743E-04,GRAMOS
TACOS,Sin Envase,TACO CARNE ENCEBOLLADA,8,CARNES,RINCON,0.0132,3.636,4.79951989173889E-02,GRAMOS
TACOS,Sin Envase,TACO ORALE,10,CARNES,RINCON,0.0132,1.363,1.79916004657745E-02,GRAMOS
LOS NACHOS,Sin Envase,NACHOS DE CHORIZO,14,QUESOS / LECHE,CREMA CULTIVADA DE 5 LBS,0.0162,1.136,1.84032006025314E-02,GRAMOS
LOS ALAMBRES,Sin Envase,ALAMBRES POLLO,10,ESENCIAS,OREGANO,0.0082,0.045,3.69000014662743E-04,GRAMOS
TACOS,Sin Envase,TACOS DE POLLO,8,VEGETALES ,CEBOLLA MORADA,0.002,0.182,3.63999992609024E-04,GRAMOS
TACOS,Sin Envase,TACOS DE POLLO,8,POLLOS o AVES,PECHUGA DE POLLO,0.0047,3.636,1.70891996145248E-02,GRAMOS
LOS NACHOS,Sin Envase,NACHO VEGETARIANO,14,ESENCIAS,FRIJOLES NEGROS,0.0022,5.455,1.20009998321533E-02,GRAMOS
